Item,Item_Code,SPAM_crop_num,SPAM_name,SPAM_name_abr,GAEZres06,GAEZres04,GAEZres04_group4mean,group_name,animal_bd_name,group_name_v2,group_name_v3,group_name_v4,group_name_v5,group_name_v6,group_name_v7,spam_2000,spam_2005,spam_2010,spam_2020
Wheat,15,1,wheat,whea,whe,whe,,Grains,,Grains,Grains,Grains,Grains,Grains,"Grains, roots, starchy carbohydrates",WHEA,WHEA,WHEA,WHEA
Rice; paddy,27,2,rice,rice,rcw,rcw,,Grains,,Grains,Grains,Grains,Rice,Rice,"Grains, roots, starchy carbohydrates",RICE,RICE,RICE,RICE
Barley,44,4,barley,barl,brl,brl,,Grains,,Grains,Grains,Grains,Grains,Grains,"Grains, roots, starchy carbohydrates",BARL,BARL,BARL,BARL
Maize,56,3,maize,maiz,mze,mze,,Grains,,Grains,Grains,Grains,Grains,Grains,"Grains, roots, starchy carbohydrates",MAIZ,MAIZ,MAIZ,MAIZ
Oats,75,8,other cereals,ocer,oce,oat,,Grains,,Grains,Grains,Grains,Grains,Grains,"Grains, roots, starchy carbohydrates",,OCER,OCER,OCER
Quinoa,92,8,other cereals,ocer,oce,,Cereals,Grains,,Grains,Grains,Grains,Grains,Grains,"Grains, roots, starchy carbohydrates",,OCER,OCER,OCER
Grain; mixed,103,8,other cereals,ocer,oce,,Cereals,Grains,,Grains,Grains,Grains,Grains,Grains,"Grains, roots, starchy carbohydrates",,OCER,OCER,OCER
Potatoes,116,9,potato,pota,rt1,wpo,,Roots and tubers,,Roots and tubers,Roots and tubers,Roots and tubers,Roots and tubers,Roots and tubers,"Grains, roots, starchy carbohydrates",POTA,POTA,POTA,POTA
Beans; dry,176,14,bean,bean,pls,phb,,"Legumes, nuts, and seeds",,"Other legumes, nuts, and seeds","Legumes, nuts, and seeds","Legumes, nuts, and seeds",Legumes and pulses,Legumes and pulses,"Legumes, beans, nuts",,BEAN,BEAN,BEAN
Broad beans; horse beans; dry,181,14,bean,bean,pls,,Pulses,"Legumes, nuts, and seeds",,"Other legumes, nuts, and seeds","Legumes, nuts, and seeds","Legumes, nuts, and seeds",Legumes and pulses,Legumes and pulses,"Legumes, beans, nuts",,BEAN,BEAN,BEAN
Peas; dry,187,19,other pulses,opul,pls,pea,,"Legumes, nuts, and seeds",,"Other legumes, nuts, and seeds","Legumes, nuts, and seeds","Legumes, nuts, and seeds",Legumes and pulses,Legumes and pulses,"Legumes, beans, nuts",,OPUL,OPUL,OPUL
Chick peas,191,15,chickpea,chic,pls,chk,,"Legumes, nuts, and seeds",,Chickpeas,"Legumes, nuts, and seeds","Legumes, nuts, and seeds",Legumes and pulses,Legumes and pulses,"Legumes, beans, nuts",,CHIC,CHIC,CHIC
Lentils,201,18,lentil,lent,pls,,Pulses,"Legumes, nuts, and seeds",,Lentils,"Legumes, nuts, and seeds","Legumes, nuts, and seeds",Legumes and pulses,Legumes and pulses,"Legumes, beans, nuts",,LENT,LENT,LENT
Pulses nes,211,19,other pulses,opul,pls,,Pulses,"Legumes, nuts, and seeds",,"Other legumes, nuts, and seeds","Legumes, nuts, and seeds","Legumes, nuts, and seeds",Legumes and pulses,Legumes and pulses,"Legumes, beans, nuts",,OPUL,OPUL,OPUL
Brazil nuts; with shell,216,39,tropical fruit,trof,frt,,Fruit_and_nuts,"Legumes, nuts, and seeds",,"Other legumes, nuts, and seeds","Legumes, nuts, and seeds",Tropical fruit,Tropical nuts,Tropical nuts,"Legumes, beans, nuts",,TROF,TROF,TROF
Cashew nuts; with shell,217,39,tropical fruit,trof,frt,,Fruit_and_nuts,"Legumes, nuts, and seeds",,"Other legumes, nuts, and seeds","Legumes, nuts, and seeds",Tropical fruit,Tropical nuts,Tropical nuts,"Legumes, beans, nuts",,TROF,TROF,TROF
Chestnut,220,40,temperate fruit,temf,frt,,Fruit_and_nuts,"Legumes, nuts, and seeds",,"Other legumes, nuts, and seeds","Legumes, nuts, and seeds",Temperate fruit,Temperate nuts,Temperate nuts,"Legumes, beans, nuts",,TEMF,TEMF,TEMF
Almonds; with shell,221,39,tropical fruit,trof,frt,,Fruit_and_nuts,"Legumes, nuts, and seeds",,"Other legumes, nuts, and seeds","Legumes, nuts, and seeds",Tropical fruit,Tropical nuts,Tropical nuts,"Legumes, beans, nuts",,TROF,TROF,TROF
Walnuts; with shell,222,39,tropical fruit,trof,frt,,Fruit_and_nuts,"Legumes, nuts, and seeds",,"Other legumes, nuts, and seeds","Legumes, nuts, and seeds",Tropical fruit,Temperate nuts,Temperate nuts,"Legumes, beans, nuts",,TROF,TROF,TROF
Pistachios,223,39,tropical fruit,trof,frt,,Fruit_and_nuts,"Legumes, nuts, and seeds",,"Other legumes, nuts, and seeds","Legumes, nuts, and seeds",Tropical fruit,Temperate nuts,Temperate nuts,"Legumes, beans, nuts",,TROF,TROF,TROF
