,nes,nes_err,ban,ban_err,veg,veg_err,grd,grd_err,frt,frt_err,mlt,mlt_err,brl,brl_err,rt3,rt3_err,rt2,rt2_err,olp,olp_err,tob,tob_err,rt1,rt1_err,cc2,cc2_err,olv,olv_err,srg,srg_err,rsd,rsd_err,oce,oce_err,cot,cot_err,sfl,sfl_err,whe,whe_err,pls,pls_err,mze,mze_err,sub,sub_err,suc,suc_err,fdd,fdd_err,soy,soy_err,rcw,rcw_err,bvmeat,bvmeat_err,bvmilk,bvmilk_err,sgmeat,sgmeat_err,chickens,chickens_err,ducks,ducks_err,pigs,pigs_err,crop,crop_err,past,past_err,gh_all,gh_all_err
ZWE,1.1750953527787234e-05,1.085944443384716e-12,8.867256798507966e-06,4.108569749287689e-13,1.300507007503851e-05,7.844380652781904e-13,1.8943895177743704e-05,2.0952328884919545e-13,9.7033850733053e-06,9.596326000478378e-13,9.810168399562833e-06,3.0172482263764407e-13,8.695207369183986e-06,1.0198195682632328e-12,1.3726620032072157e-05,2.711805546130145e-13,1.2369939357012708e-05,2.40728248309991e-13,8.914466633070532e-06,1.8926759269301536e-14,1.2771052581796332e-05,6.652608159825931e-13,1.1486183537443339e-05,1.7610370419998983e-12,1.3305582696172362e-05,8.379732636881238e-13,6.918673333372011e-07,1.1101568808987831e-14,1.6000545664947132e-05,4.34567895897635e-13,1.4270952640786252e-06,2.379101385440137e-14,8.866056920977028e-07,3.893410059713823e-14,1.5623190968349274e-05,2.3274794089173345e-13,3.8577323916027654e-05,4.06532460914654e-13,6.554476048801438e-06,1.6411729769655769e-12,1.2877813787060846e-05,4.547887488959457e-13,2.5656821533900834e-05,3.6296190386617563e-13,2.5024166483032977e-06,9.594589360433964e-13,1.6267755923211076e-05,5.079975753152349e-13,3.630550225294232e-06,6.672783945342559e-13,1.3468750678537713e-05,4.2883229935652125e-13,1.2782398636138658e-05,4.4029094974907395e-13,0.001455669473840756,6.016838958855662e-06,0.001455669473840756,6.016838958855662e-06,0.0004063581923016468,1.70507300027044e-05,0.0012975601601780038,6.712336379246665e-05,0.0006838516141472184,9.197310751401827e-05,0.00030601873535082567,3.295176187847051e-05,2.0868581801779416e-05,4.888520169153364e-07,2.0753802115785965e-05,5.494873360843256e-06,2.0786450583806222e-05,5.762377494347327e-06
ZMB,3.0963400612274456e-06,1.0820117268171407e-12,9.770944794160502e-06,8.228195981414613e-12,3.1616577397561678e-06,1.0806660374341e-12,2.855491563280406e-06,1.2366804757332873e-12,4.060377880814365e-06,1.6521007779837003e-12,2.078421667221105e-06,1.5191474209878208e-12,1.0960346766255049e-05,1.1219412817174153e-11,,,2.8888164848065565e-06,1.0803925226233237e-12,,,2.143927226155358e-06,1.556243647794364e-12,3.1817085114600177e-06,1.0723931553974064e-12,3.8007598985738967e-06,2.384954420373336e-12,,,1.930523683145996e-06,1.7025875433885244e-12,,,,,4.104116103212031e-06,1.7772621699154259e-12,4.507310911660816e-06,1.6995944663513689e-12,3.9500984186962065e-06,4.997728412924883e-12,2.9995085208962674e-06,9.927428539169111e-13,2.9250594412624713e-06,1.1677620130855643e-12,,,3.90746499734136e-06,3.2734257943419203e-12,,,3.7079363150703976e-06,1.630165775627595e-12,4.163627281242022e-06,9.563589853634569e-13,6.464557738437355e-06,9.803851640152174e-13,6.464557738437355e-06,9.803851640152174e-13,6.482740413011164e-06,1.0373375310965466e-12,6.348427276590982e-06,9.083729368269299e-13,1.1064043446535375e-05,2.556694413043367e-15,5.670108236683328e-06,9.254094945495612e-13,3.057674804433254e-06,1.2638209865567812e-12,3.3023303241573347e-06,3.9411571834962486e-14,3.266235995243782e-06,7.553122590904455e-13
YEM,3.8282089759681376e-06,3.828894041612361e-14,6.033601418949784e-06,3.0895063585619746e-14,5.523966581131682e-06,2.7919241200578838e-14,,,3.7983997026124937e-06,3.799783301201264e-14,5.137908608397101e-06,3.2970539599212535e-14,7.961591772333575e-06,2.8283318894109285e-14,,,,,,,3.5325680351722815e-06,4.6650162720109605e-14,5.8577599111980465e-06,3.209060167388554e-14,7.00060739630475e-06,2.8680972370351476e-14,,,5.201042081882356e-06,3.1196110382524795e-14,,,,,3.773457140974655e-06,1.9485638097815856e-14,,,7.347238208591789e-06,2.6955112034777286e-14,4.810540499138853e-06,3.086173423223165e-14,5.358732630222963e-06,3.116567306955127e-14,,,,,5.215078511281612e-06,2.896375079295919e-14,,,,,9.845518491426896e-06,2.00944705147621e-14,9.845518491426896e-06,2.00944705147621e-14,3.0671454603955335e-06,1.2742396247099796e-14,6.99577160018594e-06,1.3790404422116585e-14,,,,,3.0803992539680294e-06,3.3345144187769426e-14,1.2489790915712783e-06,6.347770325996318e-15,1.3443757758304151e-06,1.5383053181011174e-14
VNM,8.69271441349884e-05,2.0138877487364073e-10,7.502029148517265e-05,1.9349077133127276e-10,8.112279736179846e-05,1.846541032193453e-10,6.978598837818845e-05,2.446598561696536e-10,8.38086268017407e-05,1.873683082868527e-10,,,,,,,9.29727942868995e-05,1.7934556889657588e-10,,,7.956257225647213e-05,1.974526651611274e-10,9.866944690484733e-05,1.7373241853563495e-10,7.730864885822531e-05,2.019792347489138e-10,,,,,,,,,,,,,,,9.214211532418113e-05,2.072921416980114e-10,9.649471463835311e-05,2.0607547930690087e-10,,,7.655374886257523e-05,2.3048836826573437e-10,,,0.00012395514760114257,3.451066846683068e-11,6.679703042172066e-05,1.9861985480067538e-10,7.008246628006786e-05,2.6014364532302695e-10,7.008246628006786e-05,2.6014364532302695e-10,,,5.162099296480247e-05,3.3302080379407114e-10,4.410601364273834e-05,3.466734562506842e-10,5.915488401076432e-05,2.857798483968378e-10,7.546562218185731e-05,1.69108803541178e-10,6.430714262085403e-05,1.0632720701517073e-11,7.479229509792786e-05,1.7026682224550427e-10
VEN,0.0001540305451822209,5.563076947692437e-10,0.00011136493719980207,1.9939860647521752e-10,0.0002863112869610832,7.145989529055221e-10,,,0.00018538143873589406,5.897219401727734e-10,,,,,5.5923709039379936e-05,9.319000825973294e-11,4.783511682454294e-05,7.974824589707634e-11,4.2053370651028504e-05,2.1582992557587788e-11,0.00010893637674822793,1.1844057390054142e-10,0.0003843900261057955,5.640729578262994e-10,0.00011018778481632947,1.6273036268447775e-10,,,3.943441281673626e-05,1.720072277028076e-10,,,,,6.188982494201723e-05,1.2397177876465578e-10,0.00043630265659127393,2.6131775669786117e-10,,,0.00010744492272818811,1.588728357029507e-10,0.00011775616845637851,1.7106290520002007e-10,,,7.016761824409736e-05,8.858732802510573e-11,,,6.048113511304666e-05,1.073712219784696e-10,6.238614806936877e-05,1.644353903890549e-10,0.000214875095622802,5.726148767696227e-07,0.000214875095622802,5.726148767696227e-07,8.570219535749455e-05,8.766091925781569e-07,5.614372845165109e-05,1.8415146073245733e-06,0.0005701291381790168,4.619303440857571e-07,0.00019320729897737666,1.0117606646514395e-06,0.00010591340471063728,5.069561409381014e-07,2.661162578504604e-05,4.903978644062102e-11,3.905553098734647e-05,3.690847465925748e-07
VAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VUT,7.63139412427768e-06,3.834240686409301e-14,5.992364215753881e-06,5.2569723224010764e-14,5.0123125490275505e-06,5.274043140357323e-14,7.54532942454619e-06,4.3418131612270133e-14,2.192230566499786e-06,2.344305355682689e-13,,,,,6.06172766193581e-06,4.7604564494161605e-14,,,,,,,,,8.22094782804681e-06,4.153124963137673e-14,,,,,,,,,,,,,,,,,9.549666384531355e-06,4.348743219172009e-14,,,,,,,,,,,6.4927806611805366e-06,5.0434167777746526e-15,6.4927806611805366e-06,5.0434167777746526e-15,1.2432612469001246e-06,7.355202443233702e-15,5.234295261530291e-06,5.129643610799674e-15,,,5.136048852365568e-06,4.963125403523869e-15,7.68857885226161e-06,7.448829532298495e-14,5.510628019987024e-06,2.7649535862861977e-14,7.2071821152985484e-06,7.34331551839844e-14
UZB,1.0395728735024476e-05,1.782570668537628e-14,,,1.6123339325463854e-05,2.250637572383813e-14,,,1.4454727397162818e-05,1.7515182042527877e-14,,,1.626201329781029e-05,1.6666892202499873e-14,,,,,,,1.5187902495253945e-05,1.474304065777169e-14,1.7141033022056092e-05,1.7133534337357246e-14,,,,,,,,,,,1.626664186897297e-05,1.6588204781181755e-14,4.50232115771012e-06,1.3879298443187222e-17,1.6272149676467532e-05,1.6670190728676363e-14,3.7338412218578242e-06,2.6653037991824985e-14,1.626434479439173e-05,1.666723096127142e-14,1.7182917100872267e-05,3.891529254088271e-16,,,1.3608704239226182e-05,2.619154511741464e-14,,,1.6266621434058434e-05,1.6851052270725352e-14,1.2461533385642969e-05,2.6224662683886242e-14,1.2461533385642969e-05,2.6224662683886242e-14,9.740848122269326e-06,2.2798573578017734e-14,1.3540996368839098e-05,3.3598271161506515e-14,4.50232115771012e-06,1.3879298443187222e-17,6.841425042621999e-06,3.8500524139461824e-14,1.5064588106257685e-05,3.2317733025769416e-14,2.0726424848775484e-06,8.070397104388914e-15,4.218261863909567e-06,1.6585883083733428e-14
URY,3.1758904923518155e-05,3.69881930128641e-13,,,2.0938127882348325e-05,3.1853131154144904e-13,6.744859429995669e-06,4.4145518688070604e-17,2.297158626731651e-05,3.0493500283504836e-13,,,3.767359576502864e-05,3.2195640618897626e-13,,,,,,,2.2113011529730363e-05,2.7247648403859306e-13,3.2522705893641775e-05,3.5937401634835956e-13,,,2.2349891741142573e-05,2.714068612356066e-13,3.093776796235545e-05,2.655263354205585e-13,1.4912784245863004e-06,5.619992822325147e-17,2.9567917959065057e-05,3.5304096866966516e-13,,,3.127873340304107e-05,2.847106900247169e-13,3.1046237508975405e-05,2.614502068599205e-13,3.18427468470053e-05,3.521330249897209e-13,2.6895255702814177e-05,2.9860444109165825e-13,,,5.300170501705223e-06,3.2733449451755045e-13,6.761635096352501e-06,4.420682958197061e-17,3.817102162120594e-05,2.216381774259535e-13,1.2017183715428983e-05,3.786751429804828e-13,2.2358381459788417e-05,1.527155049329658e-13,2.2358381459788417e-05,1.527155049329658e-13,1.6088404887065755e-05,1.740152031286831e-13,3.0533503400500186e-05,9.316506744403166e-13,2.9948377665309323e-05,1.6602834537816761e-13,4.076776033779512e-05,3.7469429972091035e-13,3.243636181523114e-05,2.7900493310847015e-13,1.7778024249007904e-05,2.156066118920872e-13,1.97863322881483e-05,2.917280406407643e-13
FSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
