ISO3,item_name,band_name,deltaE_mean,deltaE_mean_sem,unit,pixel_count,sp_count
AFG,SUGB,all,-1.1059008967918424e-09,1.4852351663606338e-10,deltaE per km2 per sp.,1226,30995
GBR,SUGB,all,-6.878628886213169e-11,8.153798154544295e-12,deltaE per km2 per sp.,2695,30995
ALB,SUGB,all,-8.813238496420223e-10,1.399611178027781e-10,deltaE per km2 per sp.,87,30995
DZA,SUGB,all,3.612271210657807e-11,8.698167164388665e-11,deltaE per km2 per sp.,3,30995
USA,SUGB,all,-3.213983966851895e-10,1.9895714540283898e-10,deltaE per km2 per sp.,8368,30995
ATA,SUGB,all,,,deltaE per km2 per sp.,,30995
ATG,SUGB,all,,,deltaE per km2 per sp.,,30995
ARG,SUGB,all,,,deltaE per km2 per sp.,,30995
AND,SUGB,all,0.0,,deltaE per km2 per sp.,3,30995
AGO,SUGB,all,,,deltaE per km2 per sp.,,30995
ARM,SUGB,all,-9.542416630372039e-10,3.441376033758266e-10,deltaE per km2 per sp.,434,30995
NLD,SUGB,all,-4.871158556993407e-11,3.713680660445224e-12,deltaE per km2 per sp.,265,30995
AUS,SUGB,all,,,deltaE per km2 per sp.,,30995
AUT,SUGB,all,-1.9954792437285212e-10,4.424727370536026e-11,deltaE per km2 per sp.,919,30995
AZE,SUGB,all,-3.2264477707272706e-10,1.3916977018759045e-10,deltaE per km2 per sp.,1143,30995
BHS,SUGB,all,,,deltaE per km2 per sp.,,30995
BRB,SUGB,all,,,deltaE per km2 per sp.,,30995
BLR,SUGB,all,-1.2110196677034616e-10,6.764627527718642e-12,deltaE per km2 per sp.,3973,30995
BEL,SUGB,all,-1.3401379643367232e-10,7.242386212136403e-12,deltaE per km2 per sp.,330,30995
BLZ,SUGB,all,,,deltaE per km2 per sp.,,30995
BTN,SUGB,all,,,deltaE per km2 per sp.,,30995
BOL,SUGB,all,,,deltaE per km2 per sp.,,30995
BIH,SUGB,all,-8.932882250094039e-11,1.8824083188778233e-10,deltaE per km2 per sp.,172,30995
BWA,SUGB,all,,,deltaE per km2 per sp.,,30995
NOR,SUGB,all,-2.6595886604141583e-10,0.0,deltaE per km2 per sp.,1,30995
COL,SUGB,all,-4.89143296041572e-08,4.781316767509647e-08,deltaE per km2 per sp.,1471,30995
COM,SUGB,all,,,deltaE per km2 per sp.,,30995
BRA,SUGB,all,0.0,,deltaE per km2 per sp.,1,30995
FRA,SUGB,all,-2.117016023695358e-10,1.429867837833807e-10,deltaE per km2 per sp.,8780,30995
COD,SUGB,all,,,deltaE per km2 per sp.,,30995
COG,SUGB,all,,,deltaE per km2 per sp.,,30995
NZL,SUGB,all,,,deltaE per km2 per sp.,,30995
BRN,SUGB,all,,,deltaE per km2 per sp.,,30995
BGR,SUGB,all,-1.5761230351398548e-10,1.2118269698775267e-10,deltaE per km2 per sp.,8,30995
BFA,SUGB,all,,,deltaE per km2 per sp.,,30995
BDI,SUGB,all,,,deltaE per km2 per sp.,,30995
CPV,SUGB,all,,,deltaE per km2 per sp.,,30995
KHM,SUGB,all,,,deltaE per km2 per sp.,,30995
CMR,SUGB,all,,,deltaE per km2 per sp.,,30995
CAN,SUGB,all,-1.5801201162409377e-10,3.518723887263227e-12,deltaE per km2 per sp.,6691,30995
CRI,SUGB,all,,,deltaE per km2 per sp.,,30995
CIV,SUGB,all,,,deltaE per km2 per sp.,,30995
HRV,SUGB,all,-2.1664911685004492e-10,6.657156352417632e-11,deltaE per km2 per sp.,761,30995
CUB,SUGB,all,,,deltaE per km2 per sp.,,30995
CAF,SUGB,all,,,deltaE per km2 per sp.,,30995
TCD,SUGB,all,,,deltaE per km2 per sp.,,30995
CHL,SUGB,all,-3.230316643187715e-09,1.0156484824671373e-09,deltaE per km2 per sp.,1821,30995
CHN,SUGB,all,-6.14210189960373e-10,1.4166701158066633e-09,deltaE per km2 per sp.,40694,30995
CYP,SUGB,all,,,deltaE per km2 per sp.,,30995
CZE,SUGB,all,-1.7128915655512498e-10,7.114558324496041e-12,deltaE per km2 per sp.,1402,30995
DNK,SUGB,all,-6.332414327652798e-11,3.697669334879582e-12,deltaE per km2 per sp.,161,30995
DJI,SUGB,all,,,deltaE per km2 per sp.,,30995
DMA,SUGB,all,,,deltaE per km2 per sp.,,30995
DOM,SUGB,all,,,deltaE per km2 per sp.,,30995
ECU,SUGB,all,-2.824184430673618e-08,4.079315387310751e-09,deltaE per km2 per sp.,1226,30995
EGY,SUGB,all,-8.565712518365787e-10,9.098496217900371e-11,deltaE per km2 per sp.,1798,30995
SLV,SUGB,all,,,deltaE per km2 per sp.,,30995
GNQ,SUGB,all,,,deltaE per km2 per sp.,,30995
ERI,SUGB,all,,,deltaE per km2 per sp.,,30995
EST,SUGB,all,,,deltaE per km2 per sp.,,30995
ETH,SUGB,all,,,deltaE per km2 per sp.,,30995
FJI,SUGB,all,,,deltaE per km2 per sp.,,30995
FIN,SUGB,all,-6.292058648355018e-11,2.3218837280498476e-12,deltaE per km2 per sp.,1939,30995
GAB,SUGB,all,,,deltaE per km2 per sp.,,30995
GMB,SUGB,all,,,deltaE per km2 per sp.,,30995
MAR,SUGB,all,-1.3321473697456757e-09,2.560953688696316e-10,deltaE per km2 per sp.,4989,30995
MOZ,SUGB,all,,,deltaE per km2 per sp.,,30995
NAM,SUGB,all,,,deltaE per km2 per sp.,,30995
GEO,SUGB,all,-9.321202698586717e-10,3.156193362219284e-10,deltaE per km2 per sp.,2,30995
DEU,SUGB,all,-1.4194047338464864e-10,3.385656532553155e-12,deltaE per km2 per sp.,5734,30995
GHA,SUGB,all,,,deltaE per km2 per sp.,,30995
GRC,SUGB,all,-6.744256910235457e-10,4.102636067737544e-11,deltaE per km2 per sp.,455,30995
GRL,SUGB,all,,,deltaE per km2 per sp.,,30995
GRD,SUGB,all,,,deltaE per km2 per sp.,,30995
NRU,SUGB,all,,,deltaE per km2 per sp.,,30995
GTM,SUGB,all,,,deltaE per km2 per sp.,,30995
NPL,SUGB,all,,,deltaE per km2 per sp.,,30995
GIN,SUGB,all,,,deltaE per km2 per sp.,,30995
GNB,SUGB,all,,,deltaE per km2 per sp.,,30995
GUY,SUGB,all,,,deltaE per km2 per sp.,,30995
HTI,SUGB,all,,,deltaE per km2 per sp.,,30995
JOR,SUGB,all,,,deltaE per km2 per sp.,,30995
HND,SUGB,all,,,deltaE per km2 per sp.,,30995
HUN,SUGB,all,-1.5427781392524133e-10,9.020319136179998e-12,deltaE per km2 per sp.,1581,30995
ISL,SUGB,all,,,deltaE per km2 per sp.,,30995
IDN,SUGB,all,,,deltaE per km2 per sp.,,30995
IRN,SUGB,all,-1.543136636912615e-09,1.461117118297468e-10,deltaE per km2 per sp.,3109,30995
IRQ,SUGB,all,-1.2650075993238548e-10,4.926937334030688e-11,deltaE per km2 per sp.,802,30995
