FAO_code,FAO_name,primary_item,FAO_name_primary
2541,Sugar non-centrifugal,0,NA
2542,Sugar (Raw Equivalent),0,NA
2600,Brans,0,NA
2805,Rice (Milled Equivalent),0,NA
2815,Roots & Tuber Dry Equiv,0,NA
2818,"Sugar, Refined Equiv",0,NA
2820,Groundnuts (in Shell Eq),0,NA
2905,Cereals - Excluding Beer,0,NA
2907,Starchy Roots,0,NA
2908,Sugar Crops,0,NA
2909,Sugar & Sweeteners,0,NA
2911,Pulses,0,NA
2913,Oilcrops,0,NA
2914,Vegetable Oils,0,NA
2918,Vegetables,0,NA
2919,Fruits - Excluding Wine,0,NA
2922,Stimulants,0,NA
2923,Spices,0,NA
109,Infant food,0,#N/A
630,Cane tops,0,#N/A
631,"Waters,ice etc",0,#N/A
652,"Feed, vegetable products nes",0,#N/A
653,Food wastes,0,#N/A
737,"Oil, citronella",0,#N/A
753,"Oil, essential nes",0,#N/A
843,Pet food,0,#N/A
845,"Feed, compound, nes",0,#N/A
850,Feed supplements,0,#N/A
853,Vitamins,0,#N/A
855,Feed minerals,0,#N/A
858,"Hay (clover, lucerne,etc)",0,#N/A
859,Hay (unspecified),0,#N/A
862,Alfalfa meal and pellets,0,#N/A
866,Cattle,0,0
946,Buffaloes,0,0
976,Sheep,0,0
1016,Goats,0,0
1031,"Hair, goat, coarse",0,0
1034,Pigs,0,0
1057,Chickens,0,0
1068,Ducks,0,0
1079,Turkeys,0,0
1083,"Pigeons, other birds",0,0
1096,Horses,0,0
1104,"Hides, horse, dry salted",0,0
1107,Asses,0,0
1110,Mules,0,0
1126,Camels,0,0
1134,"Hides, camel, wet salted",0,0
1140,Rabbits and hares,0,0
1150,"Rodents, other",0,0
1157,"Camelids, other",0,0
1169,"Animals, live, non-food",0,0
1171,Animals live nes,0,0
1173,"Meal, meat",0,0
1181,Beehives,0,0
1213,"Hides and skins nes, fresh",0,0
1216,"Hides, nes",0,0
1218,"Hair, fine",0,0
1225,Tallow,0,0
1232,Food prep nes,0,#N/A
1241,"Margarine, liquid",0,#N/A
1242,"Margarine, short",0,#N/A
1243,"Fat, nes, prepared",0,#N/A
1274,"Oil, boiled etc",0,#N/A
1276,Fatty acids,0,#N/A
1277,Fatty substance residues,0,#N/A
1293,Crude materials,0,#N/A
1296,Waxes vegetable,0,#N/A
2511,Wheat and products,15,Wheat
15,Wheat,15,Wheat
16,"Flour, wheat",15,Wheat
17,"Bran, wheat",15,Wheat
18,Macaroni,15,Wheat
20,Bread,15,Wheat
21,Bulgur,15,Wheat
22,Pastry,15,Wheat
41,"Cereals, breakfast",15,Wheat
110,Wafers,15,Wheat
111,"Flour, cereals",15,Wheat
113,"Cereal preparations, nes",15,Wheat
114,Mixes and doughs,15,Wheat
115,"Food preparations, flour, malt extract",15,Wheat
166,"Fructose and syrup, other",15,Wheat
172,Glucose and dextrose,15,Wheat
635,Straw husks,15,Wheat
2804,Rice (Paddy Equivalent),27,"Rice, paddy"
27,"Rice, paddy",27,"Rice, paddy"
28,"Rice, husked",27,"Rice, paddy"
30,Rice � total  (Rice milled equivalent),27,"Rice, paddy"
31,"Rice, milled",27,"Rice, paddy"
32,"Rice, broken",27,"Rice, paddy"
36,"Oil, rice bran",27,"Rice, paddy"
37,"Cake, rice bran",27,"Rice, paddy"
38,"Flour, rice",27,"Rice, paddy"
39,"Beverages, fermented rice",27,"Rice, paddy"
2513,Barley and products,44,Barley
44,Barley,44,Barley
46,"Barley, pearled",44,Barley
49,Malt,44,Barley
51,Beer of barley,44,Barley
654,"Dregs from brewing, distillation",44,Barley
2514,Maize and products,56,Maize
56,Maize,56,Maize
57,"Germ, maize",56,Maize
58,"Flour, maize",56,Maize
59,"Bran, maize",56,Maize
60,"Oil, maize",56,Maize
61,"Cake, maize",56,Maize
846,"Feed and meal, gluten",56,Maize
2515,Rye and products,71,Rye
71,Rye,71,Rye
2516,Oats,75,Oats
75,Oats,75,Oats
76,Oats rolled,75,Oats
2517,Millet and products,79,Millet
79,Millet,79,Millet
81,"Bran, millet",79,Millet
2518,Sorghum and products,83,Sorghum
83,Sorghum,83,Sorghum
85,"Bran, sorghum",83,Sorghum
89,Buckwheat,89,Buckwheat
91,"Bran, buckwheat",89,Buckwheat
92,Quinoa,92,Quinoa
94,Fonio,94,Fonio
97,Triticale,97,Triticale
101,Canary seed,101,Canary seed
103,"Grain, mixed",103,"Grain, mixed"
104,"Flour, mixed grain",103,"Grain, mixed"
2520,"Cereals, Other",108,"Cereals, nes"
108,"Cereals, nes",108,"Cereals, nes"
2531,Potatoes and products,116,Potatoes
116,Potatoes,116,Potatoes
117,"Flour, potatoes",116,Potatoes
118,"Potatoes, frozen",116,Potatoes
120,Potato offals,116,Potatoes
2533,Sweet potatoes,122,Sweet potatoes
122,Sweet potatoes,122,Sweet potatoes
2532,Cassava and products,125,Cassava
125,Cassava,125,Cassava
126,"Flour, cassava",125,Cassava
128,Cassava dried,125,Cassava
129,"Starch, cassava",125,Cassava
135,Yautia (cocoyam),135,Yautia (cocoyam)
136,Taro (cocoyam),136,Taro (cocoyam)
2535,Yams,137,Yams
137,Yams,137,Yams
2534,"Roots, Other",149,"Roots and tubers, nes"
149,"Roots and tubers, nes",149,"Roots and tubers, nes"
150,"Flour, roots and tubers nes",149,"Roots and tubers, nes"
2546,Beans,176,"Beans, dry"
176,"Beans, dry",176,"Beans, dry"
212,"Flour, pulses",176,"Beans, dry"
181,"Broad beans, horse beans, dry",181,"Broad beans, horse beans, dry"
2547,Peas,187,"Peas, dry"
187,"Peas, dry",187,"Peas, dry"
191,Chick peas,191,Chick peas
195,"Cow peas, dry",195,"Cow peas, dry"
197,Pigeon peas,197,Pigeon peas
201,Lentils,201,Lentils
203,Bambara beans,203,Bambara beans
205,Vetches,205,Vetches
210,Lupins,210,Lupins
2549,"Pulses, Other and products",211,"Pulses, nes"
211,"Pulses, nes",211,"Pulses, nes"
216,"Brazil nuts, with shell",216,"Brazil nuts, with shell"
229,"Brazil nuts, shelled",216,"Brazil nuts, with shell"
217,"Cashew nuts, with shell",217,"Cashew nuts, with shell"
230,"Cashew nuts, shelled",217,"Cashew nuts, with shell"
591,Cashewapple,217,"Cashew nuts, with shell"
220,Chestnut,220,Chestnut
221,"Almonds, with shell",221,"Almonds, with shell"
231,Almonds shelled,221,"Almonds, with shell"
222,"Walnuts, with shell",222,"Walnuts, with shell"
