,SM_name,Item_Code_FAO,WWF_cat,WWF_flag,OTHER_name
0,Grapes,560,Wine Grapes (Wine),,
1,Wheat,15,Wheat/Rye (Bread),,
2,Rice; paddy,27,Rice,,
3,Maize,56,Maize (Meal),,
4,Soybeans,236,Soybeans (Soymilk),,
5,Tangerines; mandarins; clementines; satsumas,495,Citrus Fruit,,
6,Lemons and limes,497,Citrus Fruit,,
7,Fruit; citrus nes,512,Citrus Fruit,,
8,Pears,521,Other Fruit,,
9,Plums and sloes,536,Other Fruit,,
10,Cocoa; beans,661,Cocoa (Chocolate),,
11,,,,,
12,Barley,44,Barley (Beer),,
13,Triticale,97,Wheat/Rye (Bread),,
14,Vegetables; fresh nes,463,Other Vegetables,,
15,Oranges,490,Citrus Fruit,,
16,Grapefruit (inc. pomelos),507,Citrus Fruit,,
17,Apples,515,Apples,,
18,Pineapples,574,Other Fruit,,
19,Fruit; fresh nes,619,Other Fruit,,
20,Brazil nuts; with shell,216,Nuts,,
21,Coffee; green,656,Coffee,,
22,Tomatoes,388,Tomatoes,,
23,Tea,667,Stimulants & Spices Misc.,,
24,Sesame seed,289,Cereals & Oilcrops Misc.,about 50/50 used for oil and seed,
25,Peas; dry,187,Peas,,
26,Chick peas,191,Beans & Pulses,,
27,Lentils,201,Beans & Pulses,,
28,Coconuts,249,Other Fruit,,
29,Cloves,698,Stimulants & Spices Misc.,,
30,Walnuts; with shell,222,Nuts,,
31,Kiwi fruit,592,Other Fruit,,
32,Nuts nes,234,Nuts,,
33,Groundnuts; with shell,242,Groundnuts,,
34,Maize; green,446,Maize (Meal),,
35,Mushrooms and truffles,449,Other Vegetables,no ref to fungi,
36,Chillies and peppers; dry,689,Other Fruit,culinarily vegetables,
37,Vanilla,692,Stimulants & Spices Misc.,,
38,Cinnamon (cannella),693,Stimulants & Spices Misc.,,
39,Ginger,720,Stimulants & Spices Misc.,,
40,Spices nes,723,Stimulants & Spices Misc.,,
41,Plantains and others,489,Bananas,,
42,Sunflower seed,267,Cereals & Oilcrops Misc.,seed or oil,
43,Olives,260,Olives (Oil),,
44,Oats,75,Oats (Oatmeal),,
45,Potatoes,116,Potatoes,,
46,Mustard seed,292,Cereals & Oilcrops Misc.,,
47,Bananas,486,Bananas,,
48,Rapeseed,270,Rapeseed (Oil),,
49,Hazelnuts; with shell,225,Nuts,,
50,Cabbages and other brassicas,358,Cabbages and Other Brassicas,,
51,Cauliflowers and broccoli,393,Cabbages and Other Brassicas,,
52,Cucumbers and gherkins,397,Other Fruit,,
53,Chillies and peppers; green,401,Other Fruit,,
54,Onions; dry,403,Onions and Leeks,,
55,Carrots and turnips,426,Root Vegetables,,
56,Quinces,523,Other Fruit,,
57,Peaches and nectarines,534,Other Fruit,,
58,Watermelons,567,Other Fruit,,
59,Melons; other (inc.cantaloupes),568,Other Fruit,,
60,Mangoes; mangosteens; guavas,571,Other Fruit,,
61,Avocados,572,Other Fruit,,
62,Pepper (piper spp.),687,Stimulants & Spices Misc.,,
63,Almonds; with shell,221,Nuts,,
64,Oilseeds nes,339,Oils Misc.,,
65,Pumpkins; squash and gourds,394,Other Vegetables,,
66,Eggplants (aubergines),399,Other Vegetables,,
67,Figs,569,Other Fruit,,
68,Cashew nuts; with shell,217,Nuts,,
69,Pistachios,223,Nuts,,
70,Castor oil seed,265,Oils Misc.,,
71,Anise; badian; fennel; coriander,711,Stimulants & Spices Misc.,,
72,Oil palm fruit,254,Palm (Oil),,
73,Garlic,406,Onions and Leeks,,
74,Leeks; other alliaceous vegetables,407,Onions and Leeks,,
75,Apricots,526,Other Fruit,,
76,Cherries,531,Other Fruit,,
77,Dates,577,Other Fruit,,
78,Roots and tubers nes,149,Cassava and Other Roots,,
79,Beans; green,414,Beans & Pulses,,
80,Beans; dry,176,Beans & Pulses,,
81,Broad beans; horse beans; dry,181,Beans & Pulses,,
82,Millet,79,Cereals & Oilcrops Misc.,,
